"","month_year","water_year","month","season","position","Annual","n_days"
"1",2010-01-01,2010,1,"critical","MC","days_per_month",0
"2",2011-01-01,2011,1,"critical","MC","days_per_month",0
"3",2012-01-01,2012,1,"critical","MC","days_per_month",0
"4",2013-01-01,2013,1,"critical","MC","days_per_month",0
"5",2014-01-01,2014,1,"critical","MC","days_per_month",0
"6",2015-01-01,2015,1,"critical","MC","days_per_month",0
"7",2016-01-01,2016,1,"critical","MC","days_per_month",0
"8",2010-02-01,2010,2,"critical","MC","days_per_month",0
"9",2011-02-01,2011,2,"critical","MC","days_per_month",0
"10",2012-02-01,2012,2,"critical","MC","days_per_month",0
"11",2013-02-01,2013,2,"critical","MC","days_per_month",0
"12",2014-02-01,2014,2,"critical","MC","days_per_month",0
"13",2015-02-01,2015,2,"critical","MC","days_per_month",0
"14",2016-02-01,2016,2,"critical","MC","days_per_month",0
"15",2010-03-01,2010,3,"critical","MC","days_per_month",0
"16",2011-03-01,2011,3,"critical","MC","days_per_month",0
"17",2012-03-01,2012,3,"critical","MC","days_per_month",0
"18",2013-03-01,2013,3,"critical","MC","days_per_month",0
"19",2014-03-01,2014,3,"critical","MC","days_per_month",0
"20",2015-03-01,2015,3,"critical","MC","days_per_month",0
"21",2016-03-01,2016,3,"critical","MC","days_per_month",0
"22",2010-04-01,2010,4,"critical","MC","days_per_month",0
"23",2011-04-01,2011,4,"critical","MC","days_per_month",0
"24",2012-04-01,2012,4,"critical","MC","days_per_month",0
"25",2013-04-01,2013,4,"critical","MC","days_per_month",0
"26",2014-04-01,2014,4,"critical","MC","days_per_month",0
"27",2015-04-01,2015,4,"critical","MC","days_per_month",0
"28",2016-04-01,2016,4,"critical","MC","days_per_month",0
"29",2010-05-01,2010,5,"critical","MC","days_per_month",0
"30",2011-05-01,2011,5,"critical","MC","days_per_month",0
"31",2012-05-01,2012,5,"critical","MC","days_per_month",0
"32",2013-05-01,2013,5,"critical","MC","days_per_month",0
"33",2014-05-01,2014,5,"critical","MC","days_per_month",0
"34",2015-05-01,2015,5,"critical","MC","days_per_month",0
"35",2016-05-01,2016,5,"critical","MC","days_per_month",0
"36",2010-06-01,2010,6,"critical","MC","days_per_month",0
"37",2011-06-01,2011,6,"critical","MC","days_per_month",0
"38",2012-06-01,2012,6,"critical","MC","days_per_month",0
"39",2013-06-01,2013,6,"critical","MC","days_per_month",0
"40",2014-06-01,2014,6,"critical","MC","days_per_month",0
"41",2015-06-01,2015,6,"critical","MC","days_per_month",0
"42",2016-06-01,2016,6,"critical","MC","days_per_month",0
"43",2010-07-01,2010,7,"non_critical","MC","days_per_month",0
"44",2011-07-01,2011,7,"non_critical","MC","days_per_month",0
"45",2012-07-01,2012,7,"non_critical","MC","days_per_month",0
"46",2013-07-01,2013,7,"non_critical","MC","days_per_month",0
"47",2014-07-01,2014,7,"non_critical","MC","days_per_month",0
"48",2015-07-01,2015,7,"non_critical","MC","days_per_month",0
"49",2016-07-01,2016,7,"non_critical","MC","days_per_month",0
"50",2010-08-01,2010,8,"non_critical","MC","days_per_month",0
"51",2011-08-01,2011,8,"non_critical","MC","days_per_month",0
"52",2012-08-01,2012,8,"non_critical","MC","days_per_month",0
"53",2013-08-01,2013,8,"non_critical","MC","days_per_month",0
"54",2014-08-01,2014,8,"non_critical","MC","days_per_month",0
"55",2015-08-01,2015,8,"non_critical","MC","days_per_month",0
"56",2016-08-01,2016,8,"non_critical","MC","days_per_month",0
"57",2010-09-01,2010,9,"non_critical","MC","days_per_month",0
"58",2011-09-01,2011,9,"non_critical","MC","days_per_month",0
"59",2012-09-01,2012,9,"non_critical","MC","days_per_month",0
"60",2013-09-01,2013,9,"non_critical","MC","days_per_month",0
"61",2014-09-01,2014,9,"non_critical","MC","days_per_month",0
"62",2015-09-01,2015,9,"non_critical","MC","days_per_month",0
"63",2016-09-01,2016,9,"non_critical","MC","days_per_month",0
"64",2010-10-01,2010,10,"non_critical","MC","days_per_month",0
"65",2011-10-01,2011,10,"non_critical","MC","days_per_month",0
"66",2012-10-01,2012,10,"non_critical","MC","days_per_month",0
"67",2013-10-01,2013,10,"non_critical","MC","days_per_month",0
"68",2014-10-01,2014,10,"non_critical","MC","days_per_month",0
"69",2015-10-01,2015,10,"non_critical","MC","days_per_month",0
"70",2016-10-01,2016,10,"non_critical","MC","days_per_month",0
"71",2010-11-01,2010,11,"non_critical","MC","days_per_month",0
"72",2011-11-01,2011,11,"non_critical","MC","days_per_month",0
"73",2012-11-01,2012,11,"non_critical","MC","days_per_month",0
"74",2013-11-01,2013,11,"non_critical","MC","days_per_month",0
"75",2014-11-01,2014,11,"non_critical","MC","days_per_month",0
"76",2015-11-01,2015,11,"non_critical","MC","days_per_month",0
"77",2016-11-01,2016,11,"non_critical","MC","days_per_month",0
"78",2010-12-01,2010,12,"critical","MC","days_per_month",1
"79",2011-12-01,2011,12,"critical","MC","days_per_month",0
"80",2012-12-01,2012,12,"critical","MC","days_per_month",0
"81",2013-12-01,2013,12,"critical","MC","days_per_month",0
"82",2014-12-01,2014,12,"critical","MC","days_per_month",0
"83",2015-12-01,2015,12,"critical","MC","days_per_month",0
"84",2016-12-01,2016,12,"critical","MC","days_per_month",0
