"","water_year","position","season","days_per_water_year"
"1",2010,"LOB","critical",NA
"2",2010,"LOB","non_critical",NA
"3",2010,"MC","critical",0
"4",2010,"MC","non_critical",0
"5",2010,"ROB","critical",NA
"6",2010,"ROB","non_critical",NA
"7",2011,"LOB","critical",NA
"8",2011,"LOB","non_critical",NA
"9",2011,"MC","critical",0
"10",2011,"MC","non_critical",0
"11",2011,"ROB","critical",NA
"12",2011,"ROB","non_critical",NA
"13",2012,"LOB","critical",NA
"14",2012,"LOB","non_critical",NA
"15",2012,"MC","critical",0
"16",2012,"MC","non_critical",0
"17",2012,"ROB","critical",NA
"18",2012,"ROB","non_critical",NA
"19",2013,"LOB","critical",NA
"20",2013,"LOB","non_critical",NA
"21",2013,"MC","critical",0
"22",2013,"MC","non_critical",0
"23",2013,"ROB","critical",NA
"24",2013,"ROB","non_critical",NA
"25",2014,"LOB","critical",NA
"26",2014,"LOB","non_critical",NA
"27",2014,"MC","critical",0
"28",2014,"MC","non_critical",0
"29",2014,"ROB","critical",NA
"30",2014,"ROB","non_critical",NA
"31",2015,"LOB","critical",NA
"32",2015,"LOB","non_critical",NA
"33",2015,"MC","critical",0
"34",2015,"MC","non_critical",0
"35",2015,"ROB","critical",NA
"36",2015,"ROB","non_critical",NA
"37",2016,"LOB","critical",NA
"38",2016,"LOB","non_critical",NA
"39",2016,"MC","critical",0
"40",2016,"MC","non_critical",0
"41",2016,"ROB","critical",NA
"42",2016,"ROB","non_critical",NA
