"","month","water_year","position","days_per_month"
"1",1,2010,"MC",1
"2",1,2011,"MC",0
"3",1,2012,"MC",2
"4",1,2013,"MC",0
"5",1,2014,"MC",1
"6",1,2015,"MC",2
"7",1,2016,"MC",8
"8",2,2010,"MC",3
"9",2,2011,"MC",0
"10",2,2012,"MC",0
"11",2,2013,"MC",1
"12",2,2014,"MC",1
"13",2,2015,"MC",1
"14",2,2016,"MC",4
"15",3,2010,"MC",4
"16",3,2011,"MC",2
"17",3,2012,"MC",0
"18",3,2013,"MC",2
"19",3,2014,"MC",1
"20",3,2015,"MC",1
"21",3,2016,"MC",0
"22",4,2010,"MC",0
"23",4,2011,"MC",3
"24",4,2012,"MC",0
"25",4,2013,"MC",1
"26",4,2014,"MC",0
"27",4,2015,"MC",1
"28",4,2016,"MC",0
"29",5,2010,"MC",1
"30",5,2011,"MC",0
"31",5,2012,"MC",0
"32",5,2013,"MC",0
"33",5,2014,"MC",2
"34",5,2015,"MC",0
"35",5,2016,"MC",0
"36",6,2010,"MC",0
"37",6,2011,"MC",0
"38",6,2012,"MC",0
"39",6,2013,"MC",0
"40",6,2014,"MC",0
"41",6,2015,"MC",0
"42",6,2016,"MC",0
"43",7,2010,"MC",0
"44",7,2011,"MC",0
"45",7,2012,"MC",0
"46",7,2013,"MC",0
"47",7,2014,"MC",0
"48",7,2015,"MC",0
"49",7,2016,"MC",0
"50",8,2010,"MC",0
"51",8,2011,"MC",0
"52",8,2012,"MC",0
"53",8,2013,"MC",0
"54",8,2014,"MC",0
"55",8,2015,"MC",0
"56",8,2016,"MC",0
"57",9,2010,"MC",0
"58",9,2011,"MC",0
"59",9,2012,"MC",0
"60",9,2013,"MC",0
"61",9,2014,"MC",0
"62",9,2015,"MC",0
"63",9,2016,"MC",0
"64",10,2010,"MC",2
"65",10,2011,"MC",0
"66",10,2012,"MC",0
"67",10,2013,"MC",0
"68",10,2014,"MC",0
"69",10,2015,"MC",0
"70",10,2016,"MC",0
"71",11,2010,"MC",1
"72",11,2011,"MC",1
"73",11,2012,"MC",1
"74",11,2013,"MC",0
"75",11,2014,"MC",1
"76",11,2015,"MC",0
"77",11,2016,"MC",2
"78",12,2010,"MC",8
"79",12,2011,"MC",1
"80",12,2012,"MC",2
"81",12,2013,"MC",0
"82",12,2014,"MC",3
"83",12,2015,"MC",0
"84",12,2016,"MC",5
